X,Y,Label
1795,-156,I6
2033,-735,I6
723,337,I6
-105,1414,I6
873,736,I6
2031,-582,I6
1611,-227,I6
317,1078,I6
381,1487,I6
1595,178,I6
2114,-776,I6
1059,81,I6
-89,1378,I6
642,1033,I6
1894,-301,I6
1810,-393,I6
519,775,I6
117,1478,I6
1228,461,I6
2071,-810,I6
1309,-194,I6
15,1130,I6
491,1198,I6
1755,-141,I6
1982,-725,I6
676,303,I6
-154,1368,I6
770,724,I6
1935,-586,I6
1509,-196,I6
226,1110,I6
273,1515,I6
1478,211,I6
2013,-715,I6
975,159,I6
-195,1468,I6
526,1193,I6
1793,-70,I6
1706,-81,I6
384,1129,I6
-5,1843,I6
1150,885,I6
2016,-275,I6
1251,432,I6
-44,1775,I6
464,1865,I6
1785,547,I6
2039,-3,I6
661,1078,I6
-115,2079,I6
876,1427,I6
2023,140,I6
1556,516,I6
234,1791,I6
343,2169,I6
1599,879,I6
2098,-40,I6
974,836,I6
-108,2073,I6
675,1721,I6
1958,403,I6
1802,360,I6
479,1522,I6
148,2152,I6
1277,1158,I6
2072,-49,I6
1250,602,I6
-3,1852,I6
534,1796,I6
1830,472,I6
1987,-15,I6
648,1035,I6
-84,1973,I6
947,1256,I6
2043,-23,I6
1534,400,I6
202,1656,I6
370,1989,I6
1611,704,I6
2057,-138,I6
887,758,I6
-168,1994,I6
641,1604,I6
1888,322,I6
1696,309,I6
348,1462,I6
94,2068,I6
1239,1027,I6
2009,-129,I6
1167,513,I6
-66,1762,I6
498,1687,I6
1767,389,I6
1908,-55,I6
590,980,I6
-67,1900,I6
969,1165,I6
2035,-105,I6
1514,309,I6
214,1571,I6
397,1885,I6
1632,581,I6
2076,-277,I6
944,559,I6
-100,1788,I6
674,1406,I6
1884,100,I6
1695,79,I6
360,1245,I6
102,1859,I6
1247,782,I6
1999,-464,I6
1157,146,I6
-97,1406,I6
449,1334,I6
1739,-58,I6
1899,-568,I6
603,470,I6
-78,1405,I6
949,608,I6
2024,-752,I6
1489,-317,I6
176,976,I6
347,1323,I6
1622,-41,I6
2072,-876,I6
866,77,I6
-201,1372,I6
650,887,I6
1940,-486,I6
1693,-407,I6
354,857,I6
110,1499,I6
1296,363,I6
2029,-842,I6
1135,-120,I6
-94,1206,I6
490,1074,I6
1759,-254,I6
1842,-611,I6
560,487,I6
-87,1413,I6
961,593,I6
1991,-715,I6
1399,-185,I6
93,1129,I6
347,1399,I6
1621,27,I6
2038,-781,I6
808,204,I6
-225,1464,I6
627,973,I6
1910,-394,I6
1637,-286,I6
315,973,I6
154,1547,I6
1345,370,I6
2038,-800,I6
1095,-33,I6
-132,1270,I6
464,1102,I6
1769,-245,I6
1835,-574,I6
539,553,I6
-61,1426,I6
982,564,I6
1972,-760,I6
1348,-207,I6
73,1109,I6
354,1348,I6
1657,-7,I6
2021,-771,I6
731,260,I6
-245,1470,I6
663,918,I6
1951,-474,I6
1640,-284,I6
289,1019,I6
142,1557,I6
1356,351,I6
2019,-788,I6
1046,-16,I6
-157,1280,I6
477,1074,I6
1736,-254,I6
1767,-502,I6
490,610,I6
-35,1429,I6
1017,554,I6
1981,-734,I6
1363,-174,I6
111,1138,I6
430,1325,I6
1671,17,I6
2017,-721,I6
744,270,I6
-228,1468,I6
632,949,I6
1885,-384,I6
1604,-196,I6
269,1053,I6
155,1573,I6
1345,392,I6
2015,-759,I6
1059,24,I6
-174,1333,I6
467,1138,I6
1747,-228,I6
1806,-517,I6
498,603,I6
-58,1456,I6
987,570,I6
1972,-745,I6
1311,-162,I6
4,1153,I6
368,1356,I6
1687,-50,I6
2046,-767,I6
704,284,I6
-257,1471,I6
686,879,I6
1980,-512,I6
1628,-297,I6
280,990,I6
217,1510,I6
1462,247,I6
2062,-795,I6
1030,34,I6
-167,1354,I6
525,1089,I6
1789,-264,I6
1760,-449,I6
437,709,I6
-34,1504,I6
1066,541,I6
1965,-749,I6
1271,-153,I6
13,1136,I6
438,1261,I6
1711,-96,I6
2012,-743,I6
694,293,I6
-162,1416,I6
765,870,I6
1989,-342,I6
1631,34,I6
297,1348,I6
313,1831,I6
1535,620,I6
2120,-283,I6
1106,611,I6
-76,1900,I6
601,1657,I6
1885,344,I6
1822,175,I6
492,1291,I6
62,2026,I6
1132,1109,I6
2025,-99,I6
1300,490,I6
16,1764,I6
477,1901,I6
1774,595,I6
2043,-25,I6
720,981,I6
-107,2041,I6
833,1439,I6
2037,169,I6
1646,454,I6
329,1692,I6
333,2116,I6
1523,899,I6
2081,-83,I6
1029,740,I6
-136,1967,I6
553,1715,I6
1800,457,I6
1737,290,I6
430,1373,I6
28,2072,I6
1118,1158,I6
1995,-45,I6
1282,524,I6
33,1754,I6
505,1865,I6
1775,573,I6
2046,-48,I6
719,956,I6
-101,2008,I6
835,1419,I6
2038,138,I6
1646,405,I6
322,1651,I6
317,2076,I6
1518,864,I6
2074,-123,I6
1043,674,I6
-109,1909,I6
568,1672,I6
1820,406,I6
1757,255,I6
471,1343,I6
42,2061,I6
1151,1156,I6
2032,-45,I6
1309,512,I6
37,1755,I6
495,1868,I6
1762,549,I6
2017,-101,I6
726,858,I6
-127,1922,I6
808,1326,I6
2004,-21,I6
1608,157,I6
288,1378,I6
287,1820,I6
1495,514,I6
2070,-572,I6
1040,166,I6
-149,1407,I6
532,1127,I6
1762,-253,I6
1727,-503,I6
462,557,I6
11,1310,I6
1101,327,I6
1978,-952,I6
1267,-381,I6
4,915,I6
468,1061,I6
1770,-337,I6
2070,-969,I6
721,101,I6
-158,1276,I6
807,635,I6
2021,-692,I6
1626,-357,I6
300,956,I6
285,1426,I6
1497,120,I6
2046,-854,I6
1001,-6,I6
-172,1322,I6
523,1031,I6
1799,-312,I6
1726,-474,I6
418,660,I6
-25,1419,I6
1090,424,I6
1957,-840,I6
1240,-235,I6
-14,1075,I6
449,1176,I6
1725,-173,I6
1977,-804,I6
690,221,I6
-151,1336,I6
772,716,I6
1965,-581,I6
1591,-296,I6
313,947,I6
289,1398,I6
1474,111,I6
